type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters,name
SHOW,2012,44,1.0,8.4,5019.0,337.869,7.6,CO,1,crime,42,pablo escobar: the drug lord
SHOW,2012,24,3.0,7.8,4006.0,28.161,8.6,JP,1,scifi,11,magi
SHOW,2012,6,7.0,7.4,1887.0,30.905,7.4,US,1,family,4,barbie: life in the dreamhouse
SHOW,2012,24,3.0,8.3,8420.0,61.164,8.7,JP,1,comedy,27,kuroko's basketball
SHOW,2011,24,1.0,6.2,1519.0,8.022,6.5,JP,1,scifi,11,wolverine
SHOW,2011,41,2.0,8.0,2445.0,108.286,7.693,MX,1,drama,39,la reina del sur
SHOW,2011,25,2.0,7.3,1028.0,8.393,7.1,JP,1,scifi,11,tiger & bunny
SHOW,2011,43,1.0,7.1,108.0,4.989,1.0,TW,1,drama,38,inborn pair
SHOW,2012,23,2.0,6.2,391.0,10.849,7.6,JP,1,action,7,smile precure!
SHOW,2012,23,4.0,6.8,2783.0,5.685,6.9,US,1,comedy,1,eastsiders
SHOW,2011,14,4.0,6.0,126.0,11.341,7.7,KR,1,animation,34,robocar poli
SHOW,2012,16,5.0,7.6,20.0,3.483,5.0,US,1,animation,25,lego friends
SHOW,2011,7,4.0,6.4,94.0,0.971,10.0,GB,1,family,40,little baby bum
SHOW,2012,44,9.0,7.4,264.0,6.693,8.1,AU,1,reality,43,outback truckers
SHOW,2011,4,3.0,5.0,37.0,1.403,5.8,GB,1,animation,3,lego city
SHOW,2011,43,8.0,7.3,44.0,4.71,9.1,US,1,reality,5,inside west coast customs
SHOW,2012,45,2.0,8.5,777.0,4.391,8.0,CL,1,drama,-1,el reemplazante
SHOW,2011,15,3.0,6.0,16.0,3.657,8.0,CA,1,action,44,justin time
SHOW,2011,46,1.0,6.8,153.0,9.047,7.3,TW,1,comedy,36,office girls
SHOW,2011,47,1.0,6.8,156.0,3.417,7.0,CN,1,drama,45,the glamorous imperial concubine
SHOW,2011,46,1.0,6.5,114.0,3.195,8.0,TW,1,comedy,36,drunken to love you
SHOW,2012,5,2.0,6.4,92.0,5.32,7.5,RU,1,animation,-1,masha's tales
SHOW,2012,16,3.0,6.6,269.0,1.29,8.3,SA,1,drama,-1,takki
SHOW,2012,44,1.0,6.7,15.0,1.796,6.0,SG,1,drama,-1,yours fatefully
SHOW,2012,45,1.0,7.5,124.0,1.774,6.5,TW,1,drama,38,"love, now"
SHOW,2013,58,6.0,8.8,511668.0,1038.077,8.558,GB,1,crime,46,peaky blinders
SHOW,2014,60,6.0,8.4,156114.0,101.42,8.2,US,1,scifi,2,outlander
SHOW,2013,24,4.0,9.0,325381.0,85.661,8.6,JP,1,action,7,attack on titan
SHOW,2013,43,5.0,8.3,133406.0,114.436,8.6,US,1,scifi,2,the originals
SHOW,2013,43,9.0,8.0,242640.0,227.557,7.6,US,1,thriller,47,the blacklist
SHOW,2014,64,15.0,6.1,2021.0,15.176,5.6,US,1,reality,5,married at first sight
SHOW,2014,42,8.0,7.6,341393.0,537.156,7.8,US,1,drama,13,the flash
SHOW,2013,42,4.0,7.5,47751.0,50.864,8.0,US,1,drama,13,reign
SHOW,2014,42,7.0,7.6,245631.0,217.82,7.9,US,1,scifi,2,the 100
SHOW,2014,41,8.0,6.4,2528.0,9.479,5.9,US,1,reality,5,are you the one?
SHOW,2014,43,5.0,7.8,227760.0,106.651,7.6,US,1,drama,13,gotham
SHOW,2013,52,6.0,8.7,497650.0,33.936,8.1,US,1,drama,13,house of cards
SHOW,2014,43,6.0,8.1,148643.0,47.891,7.9,US,1,crime,20,how to get away with murder
SHOW,2014,26,6.0,8.8,148127.0,92.956,8.6,US,1,comedy,1,bojack horseman
SHOW,2014,43,6.0,7.6,22894.0,28.001,6.9,US,1,war,48,madam secretary
SHOW,2014,42,5.0,7.8,46286.0,62.316,7.952,US,1,drama,13,jane the virgin
SHOW,2014,24,5.0,5.6,5450.0,103.628,8.3,US,1,comedy,1,henry danger
SHOW,2013,59,7.0,8.1,298009.0,87.316,7.7,US,1,drama,13,orange is the new black
SHOW,2013,24,4.0,5.6,5525.0,44.482,8.1,US,1,action,10,the thundermans
SHOW,2013,46,9.0,8.6,22056.0,32.398,8.1,AU,1,drama,14,wentworth
SHOW,2014,43,5.0,6.6,36415.0,66.412,7.2,US,1,action,10,z nation
SHOW,2014,55,2.0,8.0,71735.0,22.636,7.4,US,1,action,10,marco polo
SHOW,2014,45,3.0,6.9,20132.0,24.329,6.3,US,1,scifi,2,from dusk till dawn: the series
SHOW,2013,24,4.0,6.8,2978.0,44.688,7.2,US,1,animation,25,sofia the first
SHOW,2014,25,5.0,7.9,31085.0,25.225,8.503,JP,1,scifi,11,the seven deadly sins
SHOW,2013,24,1.0,5.6,9744.0,29.349,7.9,US,1,comedy,1,sam & cat
SHOW,2013,27,3.0,8.1,32622.0,9.295,7.4,GB,1,drama,41,derek
SHOW,2014,21,5.0,7.3,15780.0,21.126,6.8,US,1,comedy,1,young & hungry
SHOW,2014,24,4.0,7.8,2148.0,47.398,8.2,JP,1,animation,8,sailor moon crystal
SHOW,2014,25,3.0,8.0,19899.0,12.802,7.5,GB,1,comedy,0,lovesick
SHOW,2014,57,4.0,8.1,6115.0,37.631,6.1,ES,1,drama,49,velvet
SHOW,2014,43,5.0,7.1,1143.0,4.211,7.5,US,1,reality,5,tiny house nation
SHOW,2013,2,4.0,6.2,835.0,6.854,6.7,FI,1,comedy,-1,angry birds toons
SHOW,2013,49,3.0,8.6,7062.0,14.873,8.4,IL,1,drama,50,shtisel
SHOW,2013,49,3.0,7.0,39998.0,22.596,7.3,US,1,thriller,47,hemlock grove
SHOW,2013,10,4.0,5.4,1930.0,11.398,6.0,FR,2,animation,15,rabbids invasion
SHOW,2013,20,1.0,8.3,3744.0,3.795,8.5,US,1,comedy,1,zach stone is gonna be famous
SHOW,2014,23,2.0,7.1,3386.0,46.794,7.9,JP,1,action,7,the irregular at magic high school
SHOW,2014,57,5.0,7.9,36177.0,30.409,7.7,TR,1,action,-1,resurrection: ertugrul
SHOW,2013,24,7.0,6.0,1950.0,9.889,7.2,CA,1,drama,19,the next step
SHOW,2014,23,4.0,5.1,2642.0,27.683,7.3,US,1,family,4,"nicky, ricky, dicky & dawn"
SHOW,2013,19,3.0,6.4,634.0,5.109,7.8,CA,3,animation,12,the cat in the hat knows a lot about that!
SHOW,2013,59,1.0,7.5,10653.0,44.966,7.8,KR,1,comedy,29,the heirs
SHOW,2013,25,4.0,6.7,4015.0,41.013,7.6,AU,1,scifi,24,mako: island of secrets
SHOW,2013,43,10.0,4.6,468.0,7.659,8.5,US,1,reality,5,black ink crew new york
SHOW,2014,14,5.0,6.1,411.0,22.213,8.2,US,1,animation,25,talking tom and friends
SHOW,2013,24,2.0,5.0,2538.0,17.079,7.1,US,1,comedy,1,the haunted hathaways
SHOW,2013,23,2.0,7.3,1165.0,12.324,7.5,JP,1,scifi,11,nagi-asu: a lull in the sea
SHOW,2013,22,3.0,4.6,678.0,13.763,7.4,CA,3,action,44,pac-man and the ghostly adventures
SHOW,2013,25,4.0,7.7,824.0,23.065,7.3,JP,1,comedy,27,yowamushi pedal
SHOW,2013,29,5.0,7.7,1184.0,28.659,7.8,CA,1,action,44,ever after high
SHOW,2014,53,2.0,7.9,14.0,8.389,6.9,FR,1,drama,51,dérapages
SHOW,2014,43,5.0,6.8,387.0,139.363,7.8,US,1,crime,20,senora acero
SHOW,2013,23,3.0,6.5,104.0,0.939,4.0,US,1,animation,25,lalaloopsy
SHOW,2014,24,4.0,8.5,22.0,12.121,6.8,CA,1,comedy,21,some assembly required
SHOW,2014,18,4.0,4.2,311.0,5.953,5.5,US,1,comedy,1,veggietales in the house
SHOW,2014,76,2.0,7.4,6167.0,24.363,8.2,TR,1,action,-1,black money love
SHOW,2014,28,3.0,8.6,454.0,1.4,6.3,US,1,documentation,35,moving art
SHOW,2013,19,3.0,6.3,613.0,7.35,8.7,US,1,comedy,1,turbo fast
SHOW,2014,23,5.0,7.0,2042.0,26.409,6.9,US,1,comedy,1,all hail king julien
SHOW,2013,46,1.0,7.1,1730.0,2.294,8.0,TR,1,action,-1,20 minutes
SHOW,2014,73,1.0,8.5,1987.0,6.909,9.1,KR,1,comedy,29,incomplete life
SHOW,2013,23,2.0,6.2,195.0,9.028,8.0,JP,1,animation,8,dokidoki! precure
SHOW,2014,4,4.0,6.9,392.0,10.547,7.0,RU,1,comedy,-1,booba
SHOW,2014,45,2.0,6.2,692.0,2.675,6.3,PL,1,crime,52,zbrodnia
SHOW,2013,63,1.0,7.6,1836.0,5.05,7.5,KR,1,drama,53,"that winter, the wind blows"
SHOW,2014,44,1.0,8.3,273.0,1.243,10.0,IN,1,drama,54,dharmakshetra
SHOW,2014,5,1.0,6.2,67.0,6.738,5.5,RU,1,animation,-1,masha's spooky stories
SHOW,2014,15,2.0,5.7,31.0,1.96,7.3,US,1,animation,25,sammy & co
SHOW,2014,29,3.0,8.9,333.0,0.992,10.0,IN,1,history,-1,"raja, rasoi aur anya kahaniyaan"
SHOW,2014,45,1.0,7.3,456.0,5.829,9.0,CN,1,comedy,55,boss & me
SHOW,2014,44,1.0,7.6,11.0,0.6,6.0,SG,1,drama,-1,against the tide
SHOW,2013,44,1.0,8.0,59.0,1.762,7.0,TW,1,comedy,36,two fathers
SHOW,2015,49,6.0,8.8,438575.0,273.296,8.5,US,1,drama,13,better call saul
SHOW,2015,51,9.0,8.4,5037.0,26.93,7.0,US,1,reality,5,alone
SHOW,2016,61,5.0,8.7,1101055.0,2226.231,8.635,US,1,scifi,2,stranger things
SHOW,2015,22,6.0,8.5,115758.0,25.254,7.6,CA,1,comedy,21,schitt's creek
SHOW,2016,23,4.0,8.2,152884.0,33.793,8.0,US,1,scifi,2,the good place
SHOW,2015,22,2.0,8.7,152231.0,133.336,8.4,JP,1,action,7,one-punch man
SHOW,2015,55,5.0,8.5,132561.0,153.281,8.3,GB,1,action,22,the last kingdom
SHOW,2015,24,5.0,8.2,10022.0,28.642,8.6,JP,1,drama,9,food wars! shokugeki no soma
SHOW,2016,56,5.0,8.7,194243.0,75.521,8.2,GB,2,drama,41,the crown
SHOW,2015,30,3.0,8.4,70087.0,30.426,7.7,US,1,action,10,ash vs evil dead
SHOW,2016,47,6.0,8.1,313124.0,922.112,8.523,US,1,scifi,2,lucifer
SHOW,2015,42,9.0,8.3,3632.0,24.602,8.1,US,1,reality,5,forged in fire
SHOW,2016,55,2.0,7.8,103176.0,33.623,7.6,US,1,scifi,2,the oa
SHOW,2015,44,5.0,7.6,50193.0,41.602,7.7,US,1,scifi,2,the magicians
SHOW,2015,21,5.0,7.7,10102.0,266.566,8.0,FR,1,animation,15,miraculous: tales of ladybug & cat noir
SHOW,2016,42,5.0,7.9,29495.0,42.381,7.623,US,1,drama,13,queen of the south
SHOW,2015,29,7.0,8.2,51116.0,25.429,7.6,US,1,drama,13,grace and frankie
SHOW,2016,44,3.0,7.5,89300.0,40.372,7.2,US,1,war,48,designated survivor
SHOW,2016,46,4.0,6.7,14321.0,33.199,6.6,CA,1,crime,-1,slasher
SHOW,2016,46,7.0,7.6,2676.0,8.446,6.8,US,1,documentation,35,60 days in
SHOW,2015,40,4.0,8.2,26158.0,41.37,7.5,IL,1,war,-1,fauda
SHOW,2015,55,4.0,8.3,14061.0,20.42,7.9,FR,1,comedy,17,call my agent!
SHOW,2016,45,3.0,8.0,55485.0,37.756,7.6,CA,1,scifi,6,travelers
